FIPS,NAME,pop_0005_00,pop_0005_10,pop_0509_00,pop_0509_10,pop_0514_00,pop_0514_10,pop_1014_00,pop_1014_10,pop_1524_00,pop_1524_10,pop_2534_00,pop_2534_10,pop_3544_00,pop_3544_10,pop_4554_00,pop_4554_10,pop_5564_00,pop_5564_10,pop_6574_00,pop_6574_10,pop_7584_00,pop_7584_10,pop_85up_00,pop_85up_10,pop_total_00,pop_total_10
32003000101,Census Tract 1.01,441,523,560,532,1126,1092,566,560,816,1121,820,861,953,975,803,966,610,601,455,414,314,225,67,73,6411,6851
32003000103,Census Tract 1.03,500,529,521,458,943,923,422,465,786,923,1006,864,910,888,586,683,394,422,220,249,105,129,20,35,5470,5645
32003000105,Census Tract 1.05,230,293,274,279,543,589,269,310,419,611,487,515,538,538,471,555,340,426,258,251,133,166,39,54,3458,3998
32003000106,Census Tract 1.06,250,242,261,281,506,533,245,252,464,499,549,458,607,453,474,522,396,500,434,520,358,400,95,136,4139,4263
32003000107,Census Tract 1.07,223,266,233,241,450,509,217,268,412,558,489,460,539,528,421,525,353,405,386,328,319,215,84,62,3682,3856
32003000108,Census Tract 1.08,318,357,324,345,581,655,257,310,462,554,584,569,542,570,407,435,300,250,226,174,110,99,23,18,3557,3681
32003000109,Census Tract 1.09,323,298,329,265,590,516,261,251,467,519,592,480,549,500,412,508,304,362,229,224,111,124,24,36,3608,3567
32003000201,Census Tract 2.01,360,377,320,405,569,761,249,356,627,697,655,663,561,604,474,512,313,395,174,350,84,152,27,22,3844,4533
32003000203,Census Tract 2.03,283,240,248,265,483,444,235,179,649,443,721,533,719,504,602,548,385,463,329,235,189,120,59,52,4419,3582
32003000204,Census Tract 2.04,40,34,56,42,106,86,50,44,104,84,121,107,134,174,231,131,165,201,192,177,159,109,93,54,1345,1157
32003000301,Census Tract 3.01,225,227,245,211,456,393,211,182,519,364,459,417,601,454,454,523,360,361,264,213,126,117,37,34,3501,3103
32003000302,Census Tract 3.02,698,539,654,511,1189,946,535,435,756,757,681,584,674,556,566,530,368,343,272,237,109,140,35,41,5350,4673
32003000401,Census Tract 4.01,245,149,196,105,332,184,136,79,376,304,456,273,411,537,325,721,225,474,151,161,84,42,21,20,2631,2865
32003000402,Census Tract 4.02,314,403,252,294,426,537,174,243,484,509,585,575,528,481,417,497,290,338,194,99,108,49,27,3,3378,3491
32003000403,Census Tract 4.03,282,218,226,219,382,400,156,181,434,282,525,371,474,335,374,368,260,367,174,264,97,114,24,34,3031,2753
