"follower","followee"
"Amedore","LaValle"
"Amedore","Hannon"
"Amedore","Ortt"
"Amedore","Lanza"
"Amedore","Bonacic"
"Amedore","DeFrancisco"
"Amedore","Golden"
"Amedore","Griffo"
"Amedore","Martins"
"Amedore","Gallivan"
"Avella","Parker"
"Avella","LaValle"
"Avella","Hannon"
"Avella","Carlucci"
"Avella","Serrano"
"Avella","Peralta"
"Avella","Rivera"
"Avella","Klein"
"Avella","Squadron"
"Bonacic","LaValle"
"Bonacic","Hannon"
"Bonacic","Lanza"
"Bonacic","DeFrancisco"
"Bonacic","Golden"
"Bonacic","Martins"
"Boyle","Parker"
"Boyle","LaValle"
"Boyle","Hannon"
"Boyle","Lanza"
"Boyle","Carlucci"
"Boyle","DeFrancisco"
"Boyle","Golden"
"Boyle","Griffo"
"Boyle","Serrano"
"Boyle","Kennedy"
"Boyle","Martins"
"Boyle","Gallivan"
"Boyle","Croci"
"Boyle","Robach"
"Boyle","Ritchie"
"Carlucci","LaValle"
"Carlucci","Avella"
"Carlucci","Peralta"
"Carlucci","Klein"
"Carlucci","Kennedy"
"Carlucci","Martins"
"Carlucci","Croci"
"Carlucci","Latimer"
"Comrie","Parker"
"Comrie","LaValle"
"Comrie","Hannon"
"Comrie","Ortt"
"Comrie","Lanza"
"Comrie","Bonacic"
"Comrie","Carlucci"
"Comrie","DeFrancisco"
"Comrie","Golden"
"Comrie","Griffo"
"Comrie","Serrano"
"Comrie","Avella"
"Comrie","Stavisky"
"Comrie","Peralta"
"Comrie","Rivera"
"Comrie","Klein"
"Comrie","Amedore"
"Comrie","Kennedy"
"Comrie","Martins"
"Comrie","Gallivan"
"Comrie","Squadron"
"Comrie","Croci"
"Comrie","Dilan"
"Comrie","Robach"
"Comrie","Boyle"
"Comrie","Latimer"
"Comrie","Larkin"
"Comrie","Panepinto"
"Comrie","Felder"
"Croci","LaValle"
"Croci","Hannon"
"Croci","Lanza"
"Croci","Bonacic"
"Croci","Carlucci"
"Croci","DeFrancisco"
"Croci","Golden"
"Croci","Avella"
"Croci","Klein"
"Croci","Amedore"
"Croci","Kennedy"
